STATE,Sugar_yield_acres,Crop_Year,Average_Temp,Average_Precip
Florida,3.5,1980,74.8,4.78
Florida,3.89,1981,76.9,2.85
Florida,3.71,1982,75.07,6.87
Florida,3.39,1983,73.13,5.27
Florida,3.8,1984,73.93,4.77
Florida,3.69,1985,75.5,4.12
Florida,3.78,1986,74.47,3.49
Florida,3.77,1987,73.77,3.43
Florida,3.88,1988,73.97,3.01
Florida,3.3,1989,75.07,5
Florida,4.31,1990,75.6,3.68
Florida,4.57,1991,77,6.94
Florida,4.01,1992,73.57,5.62
Florida,4.17,1993,73.53,3.19
Florida,4,1994,76.2,6
Florida,4.25,1995,76,5.48
Florida,4.03,1996,74.63,4.83
Florida,4.3,1997,74,5.83
Florida,5.52,1998,76.93,2.75
Florida,4.44,1999,75.43,5.04
Florida,4.72,2000,75.27,3.05
Florida,4.45,2001,74.93,3.98
Florida,4.82,2002,76.6,5.03
Florida,5.14,2003,76,6.11
Florida,4.4,2004,74.97,4.11
Florida,3.64,2005,74,7.09
Louisiana,2.02,1980,73.1,6.78
Louisiana,2.88,1981,74.6,4.55
Louisiana,2.88,1982,73.27,4.71
Louisiana,2.16,1983,70.1,7.44
Louisiana,2.2,1984,72.73,4.47
Louisiana,2.35,1985,74.13,2.83
Louisiana,2.71,1986,73.9,5
Louisiana,2.78,1987,72.93,4.43
Louisiana,2.86,1988,72.37,2.9
Louisiana,2.91,1989,72.5,8.22
Louisiana,2.18,1990,73.77,4.31
Louisiana,2.44,1991,75.1,8
Louisiana,2.54,1992,71.83,4.88
Louisiana,2.48,1993,71.03,6.46
Louisiana,2.89,1994,73.4,5.36
Louisiana,2.87,1995,73.43,5.9
Louisiana,3.15,1996,73.43,4.59
Louisiana,3.32,1997,71.1,5.51
Louisiana,3.45,1998,75.07,1.78
Louisiana,3.9,1999,74.83,4.91
Louisiana,3.41,2000,72.87,4.86
Louisiana,3.43,2001,74.37,5.4
Louisiana,2.94,2002,74.4,3.62
Louisiana,3.06,2003,74.37,4.96
Louisiana,2.69,2004,73.2,8.01
Louisiana,2.85,2005,72.97,3.31
